url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/5974898,SILVESTER DIAN HANDY PERMANA,Universitas Trilogi,S1 - Teknik Informatika,"Artificial Intelligence, Deep Learning",1.193,307,1.193,307
https://sinta.kemdiktisaintek.go.id/authors/profile/6034697,HUMASAK TOMMY ARGO SIMANJUNTAK,Institut Teknologi Del,S1 - Sistem Informasi,"Big Data Analytics, Artificial Intelligence, Machine Learning, Data Science, Data Mining",565,207,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6148976,JAENAL ARIFIN,Institut Teknologi dan Bisnis Asia Malang,S1 - Teknik Informatika,kecerdasan buatan,129,62,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6757922,FIKAR ARSYAD HAKIM,Universitas Sebelas Maret,S1 - Kedokteran,"Digital pathology, image analysis, artificial intelligence, anatomical pathology",87,36,87,36
https://sinta.kemdiktisaintek.go.id/authors/profile/5977692,ZAENAL WAFA,Universitas Mercu Buana Yogyakarta,S1 - Akuntansi,"Kecerdasan Buatan, CRM",1.036,248,1.036,248
https://sinta.kemdiktisaintek.go.id/authors/profile/6096358,DESYANTI,Sekolah Tinggi Teknologi Dumai,S1 - Teknik Informatika,"Soft Computing, Data Mining, Expert System",651,362,651,362
https://sinta.kemdiktisaintek.go.id/authors/profile/69646,ANITA AHMAD KASIM,Universitas Tadulako,S1 - Teknik Informatika,"Kecerdasan Buatan, Pengenalan Pola, Batik Motif Recognition, IT Culture",759,259,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6688514,FERRY FEIRIZAL,Politeknik Negeri Bandung,Unknown,"Internet of Things, Artificial Intelligent, Web Development",41,8,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6778666,ANDI SETIADI MANALU,Politeknik Bisnis Indonesia,D3 - Teknik Komputer,"Data Mining, Artificial Intelligence, Machine Learning",24,13,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6704834,PARYATI,Universitas Pembangunan Nasional Veteran Yogyakarta,S1 - Informatika,Artificial Intellegence,180,53,180,53
https://sinta.kemdiktisaintek.go.id/authors/profile/6679522,DIAN NUR SHOLIHANINGTIAS,Universitas Indraprasta PGRI,S1 - Teknik Informatika,"artificial intellegence, data mining",182,118,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6009621,ANDREAS ANDOYO,Institut Bakti Nusantara,S1 - Sistem Informasi (Kampus Kabupaten Pringsewu),"Information System, Computer Science, Computer Technology, AI",278,38,191,30
https://sinta.kemdiktisaintek.go.id/authors/profile/88297,IMANUEL CHRISTIAN MAUKO,Politeknik Negeri Kupang,D3 - Teknik Elektronika,"Artificial Intelligence, Electronic Control",85,26,0,0
